"","Method","Participant","Day","Metric","Trial","Value"
"1","SHORT","P22","D1","Net Force at 100ms [N]","Trial 1",680.097129845526
"2","SHORT","P25","D1","Net Force at 100ms [N]","Trial 2",685.949603549857
"3","SHORT","P17","D1","Net Force at 100ms [N]","Trial 3",877.369595309719
"4","SHORT","P2","D1","Net Force at 100ms [N]","Trial 4",561.147982381145
"5","SHORT","P12","D1","Net Force at 100ms [N]","Trial 5",600.805024317652
"6","SHORT","P23","D1","Net Peak Vertical Force [N]","Trial 1",2433.28304286115
"7","SHORT","P1","D1","Net Peak Vertical Force [N]","Trial 2",2399.05544564081
"8","SHORT","P15","D1","Net Peak Vertical Force [N]","Trial 3",2496.8056750576
"9","SHORT","P32","D1","Net Peak Vertical Force [N]","Trial 4",2276.08231764687
"10","SHORT","P10","D1","Net Peak Vertical Force [N]","Trial 5",2582.01319039054
"11","TRAD","P15","D1","Net Force at 100ms [N]","Trial 1",805.071575779421
"12","TRAD","P31","D1","Net Peak Vertical Force [N]","Trial 1",2725.07532883901
"13","TRAD","P23","D1","Net Force at 100ms [N]","Trial 2",46.5861756926868
"14","TRAD","P15","D1","Net Peak Vertical Force [N]","Trial 2",2771.78141484689
"15","TRAD","P25","D1","Net Force at 100ms [N]","Trial 3",577.891672396567
"16","TRAD","P27","D1","Net Peak Vertical Force [N]","Trial 3",2723.49282030147
"17","SHORT","P24","D2","Net Force at 100ms [N]","Trial 1",649.883487650752
"18","SHORT","P8","D2","Net Force at 100ms [N]","Trial 2",204.848760766536
"19","SHORT","P14","D2","Net Force at 100ms [N]","Trial 3",533.03722083373
"20","SHORT","P2","D2","Net Force at 100ms [N]","Trial 4",203.864041569829
"21","SHORT","P25","D2","Net Force at 100ms [N]","Trial 5",736.855978412554
"22","SHORT","P17","D2","Net Peak Vertical Force [N]","Trial 1",2530.73170857187
"23","SHORT","P19","D2","Net Peak Vertical Force [N]","Trial 2",2453.73899370404
"24","SHORT","P8","D2","Net Peak Vertical Force [N]","Trial 3",2755.93279291573
"25","SHORT","P15","D2","Net Peak Vertical Force [N]","Trial 4",2464.13923005783
"26","SHORT","P27","D2","Net Peak Vertical Force [N]","Trial 5",2737.10116498563
